point_id,ctau_mm,total_width_GeV,g_hH2H2_GeV,GHphiphi_GeV,BR_H2_to_bb,sigma_production_pb,sigma_production_error_pb,Trackless_Aeff,Trackless_Aeff_error,sigma_4b_fb,visible_sigma_fb,N_expected_139fb,N_expected_error,observed_S95,N_over_observed_S95,above_observed_S95,interpretation,production_status,efficiency_status,production_evaluation_mode
eff_ctau500_g40_br0p1,500,3.9465396080000001e-16,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.003869341,0.0007898259242358671,9.1290000000000013e-04,3.5323213989000004e-06,4.9099267444710005e-04,1.0022345998665431e-04,3.0,1.6366422481570002e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau500_g40_br0p25,500,3.9465396080000001e-16,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.003869341,0.0007898259242358671,5.7056249999999998e-03,2.2077008743125001e-05,3.0687042152943750e-03,6.2639662491658938e-04,3.0,1.0229014050981251e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau500_g40_br0p5,500,3.9465396080000001e-16,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.003869341,0.0007898259242358671,2.2822499999999999e-02,8.8308034972500003e-05,1.2274816861177500e-02,2.5055864996663575e-03,3.0,4.0916056203925003e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau500_g40_br0p7567,500,3.9465396080000001e-16,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.003869341,0.0007898259242358671,5.2277366611441965e-02,2.0227895800168348e-04,2.8116775162234004e-02,5.7393126966694174e-03,3.0,9.3722583874113353e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau500_g40_br1,500,3.9465396080000001e-16,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.003869341,0.0007898259242358671,9.1289999999999996e-02,3.5323213989000001e-04,4.9099267444710000e-02,1.0022345998665430e-02,3.0,1.6366422481570001e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau700_g40_br0p1,700,2.8189568628571429e-16,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.003478149,0.0008435750416844964,9.1290000000000013e-04,3.1752022221000002e-06,4.4135310887190001e-04,1.0704385212197498e-04,3.0,1.4711770295730000e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau700_g40_br0p25,700,2.8189568628571429e-16,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.003478149,0.0008435750416844964,5.7056249999999998e-03,1.9845013888124998e-05,2.7584569304493749e-03,6.6902407576234361e-04,3.0,9.1948564348312502e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau700_g40_br0p5,700,2.8189568628571429e-16,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.003478149,0.0008435750416844964,2.2822499999999999e-02,7.9380055552499994e-05,1.1033827721797500e-02,2.6760963030493744e-03,3.0,3.6779425739325001e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau700_g40_br0p7567,700,2.8189568628571429e-16,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.003478149,0.0008435750416844964,5.2277366611441965e-02,1.8182847040222025e-04,2.5274157385908616e-02,6.1298835588579972e-03,3.0,8.4247191286362048e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau700_g40_br1,700,2.8189568628571429e-16,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.003478149,0.0008435750416844964,9.1289999999999996e-02,3.1752022220999998e-04,4.4135310887189999e-02,1.0704385212197498e-02,3.0,1.4711770295730000e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau1000_g40_br0p1,1000,1.9732698040000000e-16,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.0024641585,0.0006362429888610299,9.1290000000000013e-04,2.2495302946500002e-06,3.1268471095635003e-04,8.0734845209841572e-05,3.0,1.0422823698545001e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau1000_g40_br0p25,1000,1.9732698040000000e-16,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.0024641585,0.0006362429888610299,5.7056249999999998e-03,1.4059564341562499e-05,1.9542794434771874e-03,5.0459278256150973e-04,3.0,6.5142648115906244e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau1000_g40_br0p5,1000,1.9732698040000000e-16,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.0024641585,0.0006362429888610299,2.2822499999999999e-02,5.6238257366249995e-05,7.8171177739087497e-03,2.0183711302460389e-03,3.0,2.6057059246362498e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau1000_g40_br0p7567,1000,1.9732698040000000e-16,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.0024641585,0.0006362429888610299,5.2277366611441965e-02,1.2881971729320090e-04,1.7905940703754925e-02,4.6232940095880231e-03,3.0,5.9686469012516412e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau1000_g40_br1,1000,1.9732698040000000e-16,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.0024641585,0.0006362429888610299,9.1289999999999996e-02,2.2495302946499998e-04,3.1268471095634999e-02,8.0734845209841557e-03,3.0,1.0422823698544999e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau0p3_g63p591_br0p1,0.3,6.5775660133333333e-13,63.59142520075966,-63.59142520075966,0.1,2.2990000000000000e-04,7.9820000000000004e-07,0,0.0005,2.2990000000000003e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.5978050000000003e-04,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,UPPER_LIMIT_ONLY,madgraph
eff_ctau0p3_g63p591_br0p25,0.3,6.5775660133333333e-13,63.59142520075966,-63.59142520075966,0.25,2.2990000000000000e-04,7.9820000000000004e-07,0,0.0005,1.4368750000000000e-02,0.0000000000000000e+00,0.0000000000000000e+00,9.9862812500000004e-04,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,UPPER_LIMIT_ONLY,madgraph
eff_ctau0p3_g63p591_br0p5,0.3,6.5775660133333333e-13,63.59142520075966,-63.59142520075966,0.5,2.2990000000000000e-04,7.9820000000000004e-07,0,0.0005,5.7474999999999998e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.9945125000000001e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,UPPER_LIMIT_ONLY,madgraph
eff_ctau0p3_g63p591_br0p7567,0.3,6.5775660133333333e-13,63.59142520075966,-63.59142520075966,0.7567374858085787,2.2990000000000000e-04,7.9820000000000004e-07,0,0.0005,1.3165260799617162e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.1498562557339284e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,UPPER_LIMIT_ONLY,madgraph
eff_ctau0p3_g63p591_br1,0.3,6.5775660133333333e-13,63.59142520075966,-63.59142520075966,1,2.2990000000000000e-04,7.9820000000000004e-07,0,0.0005,2.2989999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.5978050000000001e-02,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,UPPER_LIMIT_ONLY,madgraph
